#SampleID	Sample_Depth	Site_SampleDepth	Plant_Type	Plant	Site	Elevation_m	Site_SampleDepth_Plant_Type
C1-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C1-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C1-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C10-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C10-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C10-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
C11-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C11-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C11-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
C12-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C12-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C12-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
C2-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C2-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C2-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C3-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C3-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C3-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C4-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C4-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C4-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C5-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C5-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C5-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C6-A	rhizo	CerroAlto_rhizo	Invasive	Guava	CerroAlto	520	CerroAlto_rhizo_Invasive
C6-B	5cm	CerroAlto_5cm	Invasive	Guava	CerroAlto	520	CerroAlto_5cm_Invasive
C6-C	15cm	CerroAlto_15cm	Invasive	Guava	CerroAlto	520	CerroAlto_15cm_Invasive
C7-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C7-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C7-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
C8-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C8-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C8-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
C9-A	rhizo	CerroAlto_rhizo	Native	Vervain	CerroAlto	520	CerroAlto_rhizo_Native
C9-B	5cm	CerroAlto_5cm	Native	Vervain	CerroAlto	520	CerroAlto_5cm_Native
C9-C	15cm	CerroAlto_15cm	Native	Vervain	CerroAlto	520	CerroAlto_15cm_Native
